GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CoreFun,com.guinetik.corefun,DefaultComputable,0,59,0,10,0,10,0,10,0,5
CoreFun,com.guinetik.corefun,Timing,0,64,0,0,0,16,0,9,0,9
CoreFun,com.guinetik.corefun,SafeException,0,30,0,2,0,10,0,6,0,5
CoreFun,com.guinetik.corefun,Result.Success,4,120,2,10,0,28,2,23,0,19
CoreFun,com.guinetik.corefun,SafeCallable,0,48,0,2,0,14,0,8,0,7
CoreFun,com.guinetik.corefun,SafeExecutor,0,153,0,2,0,36,0,14,0,13
CoreFun,com.guinetik.corefun,Loggable.Logger,0,31,0,0,0,7,0,7,0,7
CoreFun,com.guinetik.corefun,Try,3,68,1,3,0,20,1,9,0,8
CoreFun,com.guinetik.corefun,Loggable.Logger.new Loggable.Logger() {...},0,42,0,0,0,6,0,5,0,5
CoreFun,com.guinetik.corefun,Loggable.Logger.new Loggable.Logger() {...},10,26,0,0,2,4,2,3,2,3
CoreFun,com.guinetik.corefun,Loggable.Logger.new Loggable.Logger() {...},0,61,0,0,0,12,0,6,0,6
CoreFun,com.guinetik.corefun,Computable,0,68,0,4,0,11,0,11,0,9
CoreFun,com.guinetik.corefun,Loggable.Logger.new Loggable.Logger() {...},0,7,0,0,0,5,0,5,0,5
CoreFun,com.guinetik.corefun,Loggable.Logger.new Loggable.Logger() {...},0,95,0,0,0,11,0,6,0,6
CoreFun,com.guinetik.corefun,Result.Failure,0,118,0,10,0,26,0,24,0,19
CoreFun,com.guinetik.corefun,SafeRunnable,0,21,0,0,0,9,0,4,0,4
CoreFun,com.guinetik.corefun,Result,0,81,0,8,0,18,0,9,0,5
CoreFun,com.guinetik.corefun,Loggable,0,9,0,0,0,3,0,4,0,4
